,predicted,review
15,good,"These pants are more like 9"" not 10"". i was very dissappointed. the color is great and so is the fabric.
if you look more closely at the model the pants don't fit her either!! they are too small! i haven't decided whether or not to take them back because i am losing weight. i am a 31 so far but these pants are like a 30. i need the color because they go perfectly with a top i bought from retailer"
16,good,"As soon as i pulled these pants from their packaging, i feel in love with them. the fabric was so soft - i could not wait to get them on...yeah, that was not going to happen! i could not pull them on - not even a little bit! these pants run incredibly small. i ordered them twice: once in my regular size, and again in a larger size. unfortunately, i am sized out of these beauties."
17,bad,"The front cream panel is completely transparent.i didn't purchase because my bra showed and it would ruin the look with a cami underneath.

i wish the fabric were translucent - not so see through."
18,neutral,"I loved the photo of this dress. upon examination of the dress (and trying it on) after receiving in the mail, the dress shown online is nothing like the dress i received save for the pattern. the dress i received has a side zip as well as a belt and no pleats on the top. the bottom is also cut straight across not as it appears in the photo. turns out it is not as flattering as it should appear."
19,neutral,"I was so excited for this dress.. but sadly it did not meet expectations. the gauze fabric already had several snags/pullers in it. the underslip was very short and just cleared my derriere.(i'm 5'7"") i normally take a 10/12 and ordered this in a l.. it was somewhat clingy in the hip area but yet bulky on top. also, i like to have the first button open, but you could then see the v neck of the underslip and it looked hokey. it's definitely a thicker material than the previous plaid tunic holding"
20,bad,nan
21,good,"This skirt looks great on, i didn't even think before buying it, planning to wear it all summer. so the aesthetic is great. quality and design, not so much. you get exactly one good wear out of it before the folding absolutely disintegrates, it is not sewn in or built to last. 

then, it looks like a cheap sarong over a cheap miniskirt. i thought the dry cleaner might be able to fix it, but they said they would have to resew the whole garment, not exactly what you want to hear with almost bran"
22,good,"Perhaps i should have gotten two sizes smaller, but the knees on these were baggie by lunch.
they are very soft and comfortable, but i wouldn't buy them again."
23,good,"After reading all the reviews and sizing down one size. i got my top size m, i usually wear m/l depending on the style. i'm 6 ft tall, 160 lb, i like my clothing loose but not as loose as this top. i should have gone to xxxxxs if such exists. no wonder there is such a low leap in price. it is a good quality though, and very nice pale peach color. no would not recommend, unless you wear 3xxxl"
24,neutral,"First let me say i love the fabric and the pattern of the blue dress. but the fit is extremely loose. they could take out an entire 12 inches of material and it would still be a swing dress. the photo of the back of the model, where the blue dress goes in to her waist is not at all accurate. if it was, i would love this dress. the photo of the model wearing the other color is how the dress actually hangs - straight down from the underarms and then bigger as it goes toward the hemline. i am 5'7"""
25,good,"I was really excited after finding this top online and reading the reviews; the combination of peplum, cap sleeves, and color seemed too good to be true. i ordered a size medium but unfortunately, this top is on the short side so wearing it with pants or jeans did not work out. in addition, the fabric was more sheer than it looks in the picture and the v-neck in front dipped a little lower, too. a camisole might have solved both of those problems but i didn't bother. i returned it to the store."
26,bad,"I love maeve and was so excited for this top which looked like an update from a last season favorite. unfortunately the fabric was stiff, it was tight in the chest and went straight down from there. returned."
27,bad,"I really wanted to love this top, but there is way too much fabric. it looks nothing like the pictures. it was more like a maternity top vs. a swingy top. i'll be returning this one."
28,good,"The design of this sweater is odd. it made me feel very ""round"" when i put it on. the sleeves were wide. the other reviewers were correct in saying that it's a thick sweater, which i thought i'd like. the torso was slimmer and longer than i expected. it really was the odd design of the sleeves that made me not like this sweater."
29,neutral,"I got this in a l, and probably i am a m. however, the waist pretty much fit, but the bodice was baggy in a really bizarre way. i don't think a human could actually be shaped a way that would fit properly in this dress. this dress is well suited for a woman with a very large bust, but a small waist."
30,good,"Not great quality, runs a bit lose, disproportionate (too large in neck and arms area)"
31,bad,I got the blue. it is very short. one side of the shirt i received was shorter that the other. the material feels cheap and pleats out a bit right over the bust - only flattering on small busted models.
32,good,Tried this on in store. was ill-fitting and sheer.
33,good,"This blouse is so beautiful - the collar, sleeves, material...everything except the cut! it was like a tent. it needed to be more tapered, which would be easy to do while still maintaining the beautiful breezy flow, and be about two inches longer.

i had been drooling over this top for awhile and was so disappointed! please fix it and then i will buy again. i am 5'4"", 140lbs and busty...a small was perfect, with the exception of the massive amount of material."
34,good,Loved loved loved the shirt but...the material was so thin
35,bad,To be clear i am not built like your models but the biggest problem was the way in which it tented out from the bustline down
36,good,The top is more of a cream color than an ivory. it's also a bit boxer than anticipated. fit is true to size.
37,bad,I would really like this dress if the material were a little thicker. it's really thin so you can see my nipples straight through the dress. you can't wear a bra with it because it is backless so i don't understand how you are supposed to wear this outside of the house.
38,bad,This dress is super bulky and unflattering. the knit is loose and see-through. looks like it was knitted by a five-year old. if you need a dress that adds twenty pounds then this is for you. back to the store it goes
39,bad,"I'm 5'2-5'3 which is supposed to be the max height for pieties in retailer (former employee) and while the bodice hit right, the skirt was insanely long. not even with heels is this gonna be right. and no discount towards hemming? i'll wait until this hits the sale rack, which it will because concensus is, it's way too long."
40,bad,"I opened these when i got them yesterday and immediately tried them on. the knees were totally stretched out and due to the panel at the knee, it looked like i had growths popping out between my legs at my knees. someone had received these before me and sent them back after they tried them on or wore them then returned them. they were obviously too small for whoever did that. these never should have been resent to another customer. they are obviously very misshapen. they are going back. on a bet"
41,bad,"Really disappointing quality. these jeans are of a very poor quality material and developed holes in the inseams after only a month! i love pilcros, and am totally shocked at the poor quality...retailer, i hope this is just a fluke. not worth the money!"
42,neutral,These jeans were so cute on- wore them a handful of times and they'd been washed twice. put them on and - rip! ripped right at the crotch in the front so not fixable- and on vacation no less when i had to scramble to find something else to wear. poor quality - disappointing and not what i expected from retailer. :-( they also run large even for a more relaxed fit- sized down for a good fit.
43,bad,"I wanted to love this as i love holding horses but it fits weird, slender in arms but baggy in the torso. i will be returning"
44,good,"My v-shape figure (broad shoulder, narrow hips, waist not well defined) looked completely square in this. not flattering at all. perhaps better for other figures."
45,bad,"I loved the print and fabric of this dress when i first saw it, but trying it on was a very different story! the photo seems to show a wider, more well-defined waist, with just a small amount of ""blousing"" on top, but this was not the case. yes, the waist fit, but it is a narrow band that was covered completely by the hanging over of the ill-fitting top, turning the entire look into a shapeless and very unattractive fit. sadly, this is going right back!"
46,good,"This is not a kimono. it's a cocoon. there's a huge difference.

it's also not made very well."
47,good,This blouse has such a beautiful print but then it just goes down from there and can't be saved. the fabric is a sheer silk so it comes with an attached camisole that just doesn't lay right underneath. the sleeves are all gathered up and they have a puffy gather at the top that just ruins the whole blouse. i wish it was just a simple popover type blouse because it really is a lovely print. definitely not worth the money even at 1/2 off plus 25-%.
48,bad,nan
49,good,"Got this in wine, very pretty and soft. but so sheer, even with the dark color one would have to wear a cami. returning for this reason. having to wear a cami wrecks the otw ultra-comfort."
50,bad,Bought this shirt on-line. wanted to love it but just couldn't. i ordered the xs and it was huge and way too unstructured for my style....just didn't have enough shape. had to send it back.
51,bad,The style was really cute but the fit was huge. i ordered an xs. i don't think going to the xxs would have helped. i ended up returning it.
52,neutral,"I absolutely loved the patterns and colors of this skirt, if only the cut wasn't so odd. the sides of the skirt ""wing out"" for a very distracting and unflattering look. the stiff, felt-like quality of the material only makes matters worse. in that respect, the model photos are not at all accurate. it also runs large. i had to go down one full size."
53,bad,"I purchased this top on sale and was really excited about the style. it fit great the first time i wore it. i washed it once, according to the care instructions. after washing it in cold water and allowing it to air dry, it was basically ruined. it shrunk up in length widened out about two inches. i'm pretty bummed about it because it was cute."
54,good,"I love this top! i ordered it in a medium, and it's perfect. i'm 47 years old, 5'2"", 125 lbs, for reference. the detail on this top is beautiful. can be paired with so many things. love it!!!"
55,good,"I've been looking for a navy shirt for some time and this is it. it's soft, drapes nicely but it's not as dressy as silk shirt would be. the navy is really blue, not a black-navy like so many. i've washed and dried it in the machines and it came out well. shrank just a little, but that made it perfect. for me it was true to size because i liked the slightly over-sized boyfriend fit, yet it still has shape. if you want a fitted shirt, go down a size or look for something else."
56,good,"Currently wearing right now :)
purchased during the first days of the tag sale. runs large (i.e. i typically wear m-l, and ended up going with a small!). definitely need a tank underneath, as the hook does not close the top of fully. like the blue color; the pink is more of a peach and made me look incredibly washed out.
a must at the tag sale price!"
57,good,"I bought this top to have so that i can pair it with a lot of my other wardrobe pieces. the top is amazing! it is soft, great fabric, a cute cut, and can be styled in so many ways! definitely worth the buy!"
58,good,"I agree with others that the shape is not perfect, it does billow a bit by the hips. but the xxs petite (someone returned) was good on me. length was perfect, sleeve were not too tights. (30dd, 26.5 in waist, 35 in hips, 115 lbs)
colors are subdued, making the jacket more neutral. keeping in mind for later..."
59,bad,nan
60,good,"This dress is gorgeous in person, but its very, very, very fitted. i wear a size 8 in most retailer dresses. i ordered the 8 and its not an option, not even with control undergarments. i sent the 8 back and re-ordered in a size 10. i wouldn't be surprised if i need the size 12. i hope it works because this is a beautiful dress. the pattern is stunning. the red is a deep brick shade. the fabric is thick, but not too thick to prevent transitioning from season to season. as other reviewers said, i am"
61,good,"I found this skirt in a size 8 at my local retailer store. i admired it on the website but to see and feel it in person was very appealing. i tried it on and it fit beautifully, a style that looks great on my figure. i love the mohair weave of the color block sections. the negative is this skirt is really pricy but i had my birthday discount and since the size 8 was sold out online and this skirt must have been a return the chances of it going on sale in a size 8 were very slim. i am still admirin"
62,good,"I've eyed this dress forever and finally decided to buy it. i literally read every single review to make sure i ordered the right size. i'm 5'4-3/4"", 36c-32-37 with a drop-waist that measures 34. based on the reviews, i ordered a regular size 6. i tried it on with a bra and also without, and the dress fits so well and beautifully both ways. but for complete comfort, i'll probably go without the bra (the lining and design don't show anything you don't want seen!). sitting in it feels great too. i"
63,good,Love this top (and every top tiny puts out).  runs very small.  i normally wear an xs but i got a m in this top.  so pretty and great detail
64,good,True to size and love the color. great to wear dressed up with wedges and a blouse or dressed down with some mephistos and a tee. linen fabric makes them light for summer heat
65,good,"Love this dress! very flattering. material is thinner and more lightweight than i was imaging but it is great. it really does run small, like the other reviewers said -- glad i ordered one size up, fits perfectly!"
66,good,This is an amazing looking skirt. it has such an exciting pattern on it and is very flattering. it is very light weight though....almost flimsy. but...it is not a deal breaker. i wear it and love it!
67,good,"Really, this top feels like a wonderfully expensive soft silk knit. it is just so very soft. the drape is really nice and there is stretch to it, making it very comfortable. it does have a tendency to fall towards the body, even though it's loose. so, i'd buy your regular size.

it's a thin material, but i don't think it's sheer at all. i bought the dark red/wine color and it's so classy! i love it. this will fit taller women easily because the arms and total length are on the long side (i sup"
68,good,"This dress is gorgeous. flattering, comfortable, and machine washable!

for reference i am 5'5 145lbs, 38-30-40 and 34dd. i got the medium and it fits great! only flaw is that the armholes are a little large, but not enough that my bra shows so i am okay with it."
69,good,"The top is adorable, but probably better to wait for a sale as the full price is a little high for a simple top like this. i got the print one and it's very true to size."
70,good,"Really cute top! love the ruffle detailing and the pattern. quality could be slightly better since i slightly expected the material to be softer. either way, i'm happy with the top. got my usual xs and it fit perfectly. it's meant to be a looser top so i don't mind that it runs a little bigger."
71,good,"I love this dress! i would definitely accessorize with a belt. my body type fits best in this style of dress because i don't have a big bust size, if you do i would try it on first. for being shorter, 5'3"", i love the length."
72,good,"I usually wear a 4, but ordered a 2 & 0 because of the previous reviews. the 2 fit perfectly. the 0 was too snug across the shoulders. both sizes were the same length and width except the shoulders.the material is beautiful and seems very well made. i am thrilled with this purchase.it looks exactly like the photo."
73,good,"Love these pants!!! retailer - please sell more colors and patterns of these! i have a hard time finding work pants that fit right, don't have to be hemmed (i'm 5'3"") and aren't boring. this is just enough pattern to be interesting, but still neutral enough to pair with other things. i bought them full price and would happily do so again for another pattern!"
74,good,"I loved this dress the moment i saw it, pre-ordered it, but when it arrived the fit was off. 
i am almost always a size 4p in retailer clothing, this fit wonderfully everywhere, except the shoulders and chest were very small. i am 5'2"" and 120 lb with a small bosom. (a cup) the shoulders were too tight and the chest gaped and sadly i had to return this dress.
i may try to find it in the store to try on multiple sizes for the right fit."
75,good,It's maybe a bit longer than i'd like but cute-great with slacks or dresses!
76,good,I loved this skirt. they didn't have my size anymore so i tried on a few others. i really needed a small p. otherwise i totally would have kept it!
77,good,"This top is an easy, classy staple for summer -tts and drapes well, great shape"
78,good,"I was going to re-turn this.top  i was really on the fence.  so glad i didn't, it is.comfortable and easy to wear. lace is a little restrictive, but willing  to over look  it because i look so cute"
79,good,Beautiful maxi fits tts. i normally wear a 10/12 and took a 12. it is flattering to the waist and makes me feel girly. the colors are so beautiful and the length is good for my 5'9 frame.
80,good,This is one of my favorite pair of pants. they don't stretch out while wearing and wash well. no pilling or shrinking. they can either be worn like leggings or pants. i wear a size 2 pants but got these in a 27 because i don't like them super fitted.
81,good,These jeans have become my new favorite pair! i bought two pairs during the clearance sale and wear them often. i love the metallic accents near the front pockets and the dark wash can be dressed up or down.
82,good,"I have this in darker blue and it is my favorite dress of the season. i didn't realize that there was one in turquoise until it was already sold out. please bring back or be so kind to contact me if an xs comes in as a return, etc. 
i love this so much!"
83,good,"I was a little hesitant to buy these given that i am just 5'1"" - i didn't want to look like an extra from the set of ""newsies."" but these are very well made and tailored for a woman's body...the trousers actually accentuate the waist and the cropped leg works well for a petite frame. they are nicely lined and the wool blend is soft and not scratchy. i love them!"
84,good,"This definitely runs a little large, but i love this tee.  i actually went back and bought it in a second color. it's perfect to throw on with shorts this summer."
85,good,"I am so happy with this chemise! the pink is the most breathtaking blush and the fabric is super soft. i like that the straps are adjustable, allowing me to make the bodice a perfect fit while adjusting the gown to the perfect length for me. it's definitely my new favorite!"
86,good,"I bought this in a beautiful cornflower blue at my retailer store. i don't see that color for sale online. the blue material was not thin or see through, but perhaps the white is. the fit is very structured, which helps me cover my mom belly. i have never said this before, but i think it looks better on me than it does on the model wearing white. on sale, i got this for about $20. i got it for a steal. i like the different directions of line patterns and the length is nice too. one thing you can't"
87,good,This dress is really really soft and comfortable. it's loose but still flattering. i would definitely recommend it.
88,good,"The photos really doesn't do this sweater justice. when i saw it in store ii was really drawn to the colors which are a bit brighter than they appear in the photos. this will be great over jeans or slim pants. i usually wear a l or xl and i went with the l which is still roomy enough to layer but not too big. at 5'5"" it drapes nicely and covers my rear end. the arms are a bit long on me but it is a common issue for me as i have short arms. others have mentioned the arms being big but i think the"
89,good,"Love, love, this top! it's flattering (shows off your shoulders) soft and has delicate embroidery. i typically order a xxsp in antro tops as i'm very petite but decided to order both xxsp and xxs, just to see the difference. the xxs worked better as the xxsp was too short in length and kind of looked like i was trying to fit into a child size top. the xxs is a perfect length. it's my new favorite and i can see keeping this in my wardrobe for a long, long, time."
90,good,"I got this top in white and absolutely love it. the top can be tucked in or worn out, it is very elegant and will go well with skirts as well as pants and even jeans. can't wait to wear it."
91,good,"I never buy shorter shorts, my legs are so muscular that most are unflattering, but these were actually ok. they didn't look loose like the model, but hit a nice spot on the leg, and they have enough stretch to fit me nicely. i even bought the white color... unheard of! i weigh 115 lbs, all legs..."
92,good,This top is just amazing. it does run large so size down but fit and feel is wonderful especially if you would like to hide some lumps and bumps this is the perfect top.
93,good,"Love the length, cut, & placement of pockets. the stretch has positive & negative consequences, though. minuses: easily wrinkled, grow 2 sizes within the day. pluses: comfy, bendy, they're designed to be more of an active short, so the wrinkles & give are quite fine (they only stretch in unnoticeable areas). if we're to repurchase, i'd size down--but i love the bright color  & comfort so much i'm keeping these as is. (i'm a 6-8, should have purchased the 27's.)"
94,good,I see many uses for this sweater. it is so whimsical. i love it!
95,good,These are a great casual workday pant. the loose fit and light weight material makes it a great summer option.
96,good,I originally got this for myself but it was just a little bit more snug than i liked. i ended up giving it to my daughter. it fits her nicely and she wore it to her holiday party at work and it was a hit!!
97,good,"This sweater is so well made and uniquely designed. one of the main reasons i love retailer is for how toy make wool sweaters, timeless, affordable, and versatile.

worth the money!"
98,good,Easy to take this dress from casual to dressy! super comfortable and cute!
99,neutral,"Love love love! i'm 5'8"", 122 lbs, 34b, and have an athletic frame (fairly narrow hips) and i bought an xs (in red.) usually i am a s with retailer for dresses (although occasionally a m for slimmer dresses), but i found that the top part of this dress required me to size down to an xs as the low back-design of the dress fit too loosely with the size s--it hung so that it showed my bra straps and the sleeves were a tad baggy under the arms, showing about 2"" of bra underneath. my guess is that if y"
100,good,"I love this blouse. the color is so pretty! i might even wear this to a holiday party. the tie looks great so many ways--love the versatility. i think i will get a lot of wear out of this blouse--with a pencil skirt, jeans or under a blazer."
101,good,"I love this top so much. i dare say it is one of my favorite retailer purchases to date. i got it in the blue and it is really magical! i get compliments every time i wear it. i have a pair of dressier black leggings that i never know what to wear with, i'm not really a leggings person. but this tunic is exactly the piece! plus, this tunic comes with pockets. what's better than that??!"
102,bad,nan
103,good,"The blush stripes are subtle but they definitely give elongating effect to your legs.

very comfortable pair of crop pants but my calves are definitely feeling tight in there!"
104,good,"These jeans are awesome! i usually wear a 26 in ag jeans as they tend to stretch, but i ordered a 27p because i am only 5'1 and these are a flare style. i have a small waist but a larger booty, and these jeans hug me in all the right places. they also have a great dark color and are super classy so you can dress them up if need be. the only thing i didn't like was the length. even with the petite size i have to wear wedges so they don't drag on the ground. but, this is an issue i have with most"
105,good,This sweater is thicker than some of the other cashmere sweaters i purchased at retailer this year. it is made with high quality cashmere as it is extremely soft. i wouldn't describe it as chunky or bulky though. it's probably made of at least 2 or maybe even 3 ply cashmere. the sleeves do run slightly short. i purchased the xs and it fits my petite frame perfectly! grab it while you can! it's so luxurious & super warm for the winter.
106,good,Love this dress in the orange print! i do agree with one reviewer who said the high neck is bothersome--it is! but i'm willing to overlook that because it is the style of this dress. and it is adorable! easy and comfortable to wear--and i just love the orange pattern print! took my usual size!
107,good,"I'm so glad i saw this pretty dress on sale as my eye overlooked when it was introduced. i have to agree with the previous reviewer that the zipper on this adorable dress is yucky to grab and zip. i also wish there were pockets but it's not a deal breaker. perfect dress for autumn/winter especially with a thin layer to wear underneath as the armholes are cut a bit large, showing my side boob and bra. i had to go two sizes up because 10p was sold out. skirt profile looks a little too wide, so i'l"
108,good,"This dress might be the most comfortable article of clothing i own, especially for the hot summers. it is attractively loose, and so light that you barely feel like you are wearing it. love it!"
109,good,"I loved this dress and wanted to use it for work. i read the reviews and saw all the issues with the slip and was nervous, but i tried it anyway and figured i could use another plain black slip i have if the one with the dress didn't fit. i'm really happy i did because it's a gorgeous dress. you just may need to wear a different black slip with it (i did). if you already have one, it's no additional hassle or cost and the dress is really unique. it's the perfect comfortable but stylish dress for"
110,good,"Great, rather heavyweight, long cardi. i purchased the blue, which is a lovely shade of gray/blue, not quite as bright as the picture depicts. pin is adorable; doubt i'll ever use it to close the sweater, but still a nice touch. for reference i'm 5'5"", 136 lbs, 34ddd and typically fall between size small and medium. took a medium in this one and glad i did. perfect fit. falls exactly like on the model."
111,good,"I love lace dresses and this one is no exception. great construction and color. i paired the dress with a plum colored blazer and i really was pleased at how well it all went together. i'm about 5'8"" and 170 i'm normally an 8 or 10 at retailer, my 8 fits great and is not tight at all, so i'm thinking it may run a tad bit big."
112,good,"This skirt is flattering and so soft. i've worn it once, and while it did keep feeling like a scandalous slit, i just had to keep reminding myself of the awesome inner skirt. i gave a 4 instead of 5 because my elastic seems to roll ever so slightly in front so that the pleats don't hang flat, and also a little bit of stitching on the outside was loose. since it's nothing that will unravel the whole thing, i'm not too worried about it."
113,good,"I love ag for their soft, stretchy denim and flattering fit. bought these today and couldn't be happier! i usually order stevies in the petite ankle size, but the ""regular"" capri length fit perfectly skimmed my ankle."
114,neutral,"Just bought this at the store. just to be safe, i thought i would try it on before ordering just to confirm the size. that was a good idea. ( i am a 38b, 5'9"", and have variable results with trying to order with the size charts.) the large looked nice but was slightly too large in the chest. when directly compared to the medium, it seems the major difference is the length-- the large was > 1"" longer than the medium. i did not find either to be itchy and the construction seems totally ok."
115,good,"Love the detail, quality of make and fabric, comfort.  i've been looking for a top like this.  expect that it  will wash fine. it's not see through and i always wear a nude bra.  got xs in white and it fits well, not too loose and billowy.  i'm 5'2"", 115#. highly recommend."
116,good,"This dress has been on retailer's site for a while now (years?) and i finally grabbed one during a recent member sale. i can't believe i waited so long! it's so gorgeous on - classy but still distinctly sexy. i'm 5'10"" 160# and the size 8 fits great - definitely fitted through the hips and thighs and roomy enough on top i considered taking it in. beautiful dress overall!"
117,good,"Aaaaaaamazing tunic, it was love at first sight and the detail is spot on. the total weight is heavier than expected but that is due to the impeccable quality of the top."
118,good,"I purchased this in the mauve color. beautiful color with tan skin for the summer, but also perfect for fall. the material is very thin but not sheer at all. has quite a bit of drape/swing to it so i sized up to make sure it was long enough. it fits me like it fits the model shown here. i am about 5'4"" 115lbs and 32b and am keeping the small."
119,good,The cut is wonderful and the fabric is soft and flowy. it is pretty sheer so a slip is recommended. i wish this dress had a lining like some other dresses i've gotten at retailer.
120,good,This blouse is perfect for a summer afternoon. it;s very light and the v neck back on it is super cute. the coloring is amazing. it's hard to find anything with those two colors incorporated. looks perfect with jeans or shorts and can be dressed up or dressed down. i am a solid 12 in everything...tops and bottoms and this shirt was no differemt. i like it a little loose so i went with my normal size but i am sure i could have gone down to a 10 as well. don't pass this up. it's a lovely lovely to
121,good,I loved this top from first sight and finally bought it this week. i am usually a six or a small. the small was so tight on the top that the ruffle rolled up across my chest. i ended up with a medium.
122,good,"Adorable skirt but fit is definitely too tight like the other reviews before me 
 i am super petite 4 11 105 pounds the double zero and zero were just a little tight for me and a little too long ( both could fit around my waist which is a 24 but high waisted and tight not a fit around the hips)
 if  the length had been above the knee i might have kept  the zero but they were both returned 
 great skirt in the theory  with the wrong  waste fit and length"
123,good,I bought this b/c it looked exactly my style and i was right! i've worn this once and it is so comfortable and the fit is great. i can see this being a shirt i wear again and again all summer. i bought the black and am thinking about buying the peachy-plaid color...
124,good,"Wow, that dress is short... at least, the epite was, not falttering on muscular thighs... perhaps a regualr size on that one would work, but the bodice was a perfect fit, so not sure there... i decided not to try it on, as i figured this dress is very seasonal, and trendy. otherwise, if you ahve the money to spare and leaner legs,i would recommend it. the cut was actualyl flattering otherwise, i didn't have bunching issues like others, and my 30dd boobs fit in the 0p. color and pattern are prett"
125,good,Cute design for a casual top. however it was a little snug on the bust for a medium. i returned it
126,good,I purchased these in large which is normally my size on bottom. they are a little roomy and the waist is so high on me that i am going to tack the waist down. they are ok. good quality but not the best pants in the world.
127,good,"I ordered this attractive top in my usual size and tried it on with great anticipation. it fit perfectly except across the shoulders, a problem i haven't encountered before. i've tried it on twice more (do i hope my shoulders will shrink?), only to see that it pulls across the top of the back as before. otherwise, it is so pretty and flattering that i'll be truly sad to send it back."
128,good,"Love the style, weight (not too hot) and look but it sheds all over any pants other than jeans. i also wore a white tank under it and it stained it blue. very disappointed"
129,good,"I love this top and the beading is beautiful, but just like everyone else, it was way too large. i normally wear a lg, but the large looks and feels like a 3xl. beautiful but large"
130,neutral,"This dress is beautiful. very vibrant and rich looking...however, after wearing it to work the back of the dress was completely stretched out from sitting in my office chair. when i stood up a little bubble remained around my butt. not attractive. i wanted to love it but it's going back."
131,neutral,"I followed the advice of other reviewers and sized down. however, the jacket was still too large. it fit fine in the arms but the body/width of the jacket was huge. also i found the wool material to be extremely itchy. it might work if you are layering it over long sleeves but still make sure to size down at least one or maybe even two sizes."
132,bad,The top is gorgeous and bohemian like with a loose fit. the top arrived with a small black stain and some of the lace already ripped. it might be too delicate for me to even exchange for another and wear. i am going to have to return it.
133,good,"I ordered this in the blue, it's a beautiful shade of blue. love the lace up detail in the back, but the size small was just short and very wide. i understand it is a swing top, but this was not flattering on me. i'm short waisted, 34-d, 5'3, 125 lbs.  i'm sure it would be cute on a very thin person."
134,good,The top as with most of ap's tops is well stitched. material is very uncomfortable. if you have large bust it is a little divulging. this may prompt you to wear something underneath to look modest and change the shape of the top!
135,neutral,"Wow was this top huge on me! i am usually a large, but lean towards xl when things don't have stretch. i sized up out of fear that my bust couldn't squeeze into a large (36dd) and i didn't want the buttons in the back to gape. when i took this out of the package (i purchased the blue) i knew right away it was way too big. looked like it could fit my husband. the sides poofed out so far, i looked ridiculous (if you look at the photos, the model is trying very hard to control the poofiness with he"
136,good,"This very lightweight cardigan looked like an eggplant color online. it's brown with a hint of burgandy. not bad, but unexpected. i am very short -waisted, and this lies very high on my torso. the seams are unfinished, and it looks cheaply made. glad i got this on sale."
137,neutral,"Beautiful fabric, but the fit was off. the picture makes the dress appear fitted than it actually is. the belt is definitely needed, but would leave a lot of fabric in the back of the dress giving it a less than tailored look. 

also, the arms and the top portion are a tad small, so if you have a larger bust/arms, this dress may be tricky. i am a 34b and the button in the xxsp was puckering a bit.i was really looking forward to this one for fall, but was no way for me to make it work."
138,good,"I believe that this sweater is by moth and not knitted and knotted as noted in the description. for me, this tunic was just ok. i didn't think that the quality was great and it just didn't wow me, especially at this price point."
139,good,I love the look of this dress and i love the way it is cut. the one thing i do not love is the thickness of the material. it is just too much for a summer dress. it just felt heavy and hot. i still love this brand so i am hopeful for a few more great options to come out before summer is over.
140,good,I absolutely adore this skirt! sadly it was a lot of skirt for me- i'm 5 feet nothing and it would have been too much fabric to hem. wish this skirt came in a petite size. great color and a fun option for the fall wedding season!
